Name of Establishment,Address
AGB DRUGSTORE & CLINIC,"Taft Street, Roxas, Capiz"
JIP James Pharmacy,"Cor. Locsin - V. Gustillo Sts., Barangay V (Pob.), San Carlos, Negros Occidental"
RONALIZA PHARMACY,"Legaspi St., Brgy. Baybay Norte (Pob.), Miagao, Iloilo"
JERIELLE PHARMACY,"Purok II, Asia, Hinoba-an, Negros Occidental"
THE GENERICS PHARMACY,"Golden Heritage Bldg., #1 San Juan-Luzuriaga Sts., Bacolod, Negros Occidental"
NEGROS GRACE PHARMACY,"Burgos  St., Silay, Negros Occidental"
MERCURY DRUG,"Dumalag Road, Brgy. Poblacion, Tabuc, Mambusao, Capiz"
ROSE PHARMACY,"Gaisano Roxas Marketplace, San Roque Ext., Roxas, Capiz"
LORICEL PHARMACY ,"GMT Delgado St., Brgy. Zone II, (Pob.), Santa Barbara, Iloilo"
MERCURY DRUG,"Cor. McKinley, Dewey & Taft Sts., Roxas, Capiz"
NEGROS GRACE PHARMACY,"#13 Tai Guan Bldg., Luzuriaga St., Bacolod, Negros Occidental"
WATSONS YOUR PERSONAL STORE,"G/F Savemore Market Fortune Town Bacolod, Sofia Gonzaga St.,  Brgy. Estefania, Bacolod, Negros Occidental"
E.R. ELUMBA PHARMA,"Rizal Street, Barangay Robles, La Castellana, Negros Occidental"
FARMACIA ORLAN,"Isagani St., Pontevedra, Capiz"
AMBEX PHARMA,"Arnaldo Blvd., Brgy. Tanque, Roxas, Capiz"
ANGEL M PHARMACY,"Brgy. San Jose, Pototan, Iloilo"
"BOTIKANG PINOY, INC.","INFANTE ST., BRGY. WEST TIMAWA, MOLO, Iloilo City, Iloilo"
"GAMOT KO PHARMACEUTICALS, INC.","E. Arches Bldg., Arnaldo Blvd., Brgy. Tanque, Roxas, Capiz"
MERCURY DRUG,"Corner Araneta-Luzuriaga Streets, Bacolod, Negros Occidental"
MERCURY DRUG,"Brgy. Tagbak, Jaro, Iloilo City, Iloilo"
CANONIGO FARMACIA,"Purok Aboitiz, Brgy. San Jose, Sipalay, Negros Occidental"
MERCURY DRUG,"San Roque Ext., Brgy. VIII, Roxas, Capiz"
NEGROS GRACE PHARMACY,"Blk. 3, Lot 11 & 12 Fortune Towne, Brgy. Estefania, Bacolod, Negros Occidental"
FARMACIA NI DOK,"Rizal St., Poblacion, New Washington, Aklan"
XL PHARMACY & MEDICAL SUPPLIES,"NMA Bldg., CV Ramos Ave., Brgy. Taculing, Bacolod, Negros Occidental"
LILIA'S PHARMACY,"Rizal Street, Brgy. Robles, La Castellana, Negros Occidental"
FASTLANE DRUGSTORE & MEDICAL CLINIC,"Tirol Bldg., Rizal St., Maasin, Iloilo"
MVV PHARMACY,"#104 San Sebastian - Doña Juliana Sts., Purok Chrysantemum, Barangay 33, Bacolod, Negros Occidental"
PIERIL'S PHARMACY,"Roxas Avenue, Kalibo, Aklan"
JHIME DRUGSTORE ,"F. Palmares Sr. St., Passi, Iloilo"
MERCURY DRUG,"San Roque Ext., Brgy. VIII, Roxas, Capiz"
MEDPLUS PHARMACY,"HLJ Bldg., cor. Sola St., J.Y. Perez Highway, Brgy. II, Kabankalan, Negros Occidental"
The Generics Pharmacy,"Rivero St., Takas, Valderrama, Antique"
CHRISMAR DRUGSTORE,"Cor. Rizal-Lacson Sts., Brgy. 1-B, Manapla, Negros Occidental"
CONFLUENCE HEALTH & WELLNESS PRODUCTS,"Barbasa Building, Mabini Street, Poblacion, Kalibo, Aklan"
MERCURY DRUG,"G/F G005-06 GT Town Center, VP Fernando Lopez Avenue, Brgy. Ungka II, Pavia, Iloilo"
FARMACIA NATIVIDAD,"Barangay Rumbang, Pototan, Iloilo"
JDN PHARMACY & MEDICAL SUPPLIES,"MKU Bldg., Brgy. Taculing, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Merzci Bldg. Bonifacio St., Barangay Zone-12, Bacolod, Negros Occidental"
JT HANDUMANAN DIAGNOSTIC CENTER CORPORATION,"Stall 9,10,11,28,29,30 at NEDF Commercial Center, NEDF Brgy. Handumanan, Bacolod, Negros Occidental"
SIRIUS STAR PHARMACEUTICAL AND MEDICAL SUPPLIES LTD CO.,"UNIT 2 ARC BLDG  TAGBAK ST., BRGY. TAGBAK, JARO, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Door #3 Villanueva Bldg., Rizal St., Purok Acacia, Zone 2, Murcia, Negros Occidental"
THE GENERICS PHARMACY,"Villanueva Bldg., de leon St., Brgy. II, Victorias, Negros Occidental"
MERCURY DRUG,"HDH Merchandising Building, Zone II, Barangay Aganan, Pavia, Iloilo"
ELEGARLE DRUSTORE,"TATC, Barangay VIII, Roxas, Capiz"
NEGROS GRACE PHARMACY,"Burgos St., Silay, Negros Occidental"
909 PHARMACY,"Sta. Cruz Street, Poblacion, Jamindan, Capiz"
SAVE ON QUALITY GENERICS PHARMACY,"Mt. Carmel Arcade, Valeria St., Iloilo City, Iloilo"
GUINTIVANO DRUGSTORE,"Leganes Public Market, Leganes, Iloilo"
GALICANO PHARMACY,"Poblacion Norte, Ivisan, Capiz"
FARMACIA HADASSAH,"E. Reyes Avenue, Poblacion Zone II, Estancia, Iloilo"
FMD PHARMACY,"PUROK MALIPAYON, RODRIGUEZ BAYBAY, BRGY. 35, Bacolod, Negros Occidental"
Botika St. Jude,"Barangay Poblacion, Tabuc, Maayon, Capiz"
PADDY PHARMACY,"NEW SARA PUBLIC TERMINAL, DV SALCEDO ST., BRGY. POBLACION ILAWOD, Sara, Iloilo"
MARX PHARMACY,"Luna St., Barangay Bantud, La Paz, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Lopues Araneta Bldg., Araneta St., Bacolod, Negros Occidental"
GLEAMS PHARMACY,"Barangay 3, Isabela, Negros Occidental"
JDN PHARMACY,"Plaza Burgos, Burgos St., Brgy. 9, Bacolod, Negros Occidental"
MEGGEL PHARMACY,"Baranggay Lawa-an, Roxas, Capiz"
GENERIKA DRUGSTORE,"Corner Yunque - Virto St., Brgy. II, Poblacion, La Carlota, Negros Occidental"
GRACIOUS DRUG MART,"VSG Bldg., Stall #03, Jovita Fuentes St., Brgy. Inzo Arnaldo Village (Cadimahan), Roxas, Capiz"
THE GENERICS PHARMACY,"Centro Poblacion, Culasi, Antique"
JAN VEY PHARMACY,"Somes St., Pob. Zone II, Estancia, Iloilo"
EPIONE'S PHARMACY,"Arquisola Building, Osmeña Avenue, Estancia, Kalibo, Aklan"
FARMACIA RAPHAEL,"Guanzon St., Brgy. 5, Kabankalan, Negros Occidental"
THE GENERICS PHARMACY,"level 1 space no.322 Robinsons place iloilo,mabini st de leon st,brgy roxas village,iloilo city,iloilo, Barangay Roxas Village, Iloilo City, Iloilo"
BELLE PHARMACY,"Don Victorino Salcedo St., Brgy. Poblacion Market, Sara, Iloilo"
ROSE PHARMACY,"PLAZUELA DE ILOILO, DIVERSION ROAD, BARANGAY SAN RAFAEL MANDURRIAO, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Felisa Rd. and Cattleya St. Paghidaet, Barangay Mansilingan, Bacolod, Negros Occidental"
SOUTH STAR DRUG,"East 3 Center Burgos Ave. Ext., Barangay Villamonte, Bacolod, Negros Occidental"
JHAM PHARMACY,"Public Market, Anilao, Iloilo"
Mercury Drug,"Guanzon St., Brgy. V, Kabankalan, Negros Occidental"
NEGROS GRACE PHARMACY,"#69 Block 2, Homesite, Bacolod, Negros Occidental"
JONZKIE PHARMACY,"Purok 1, Barangay Cabacungan, La Castellana, Negros Occidental"
MIKEL PHARMACY,"Public Market, Barangay Caduha-an, Cadiz, Negros Occidental"
NAZ PHARMA,"Felix Gorriceta Jr. Avenue, Brgy. Aganan, Pavia, Iloilo"
CONFLUENCE HEALTH AND WELLNESS PRODUCTS,"Level 1-352 Shophouse, Robinsons Place Iloilo, De Leon Street, Barangay Roxas Village, Iloilo City, Iloilo"
FARMACIA GOMEZ,"Kalibo Shopping Center, Kalibo, Aklan"
ILOILO GRACE PHARMACY,"G/L Gaisano City Mall, Lapaz, Iloilo City, Iloilo"
LILIAN DRUGSTORE,"Lopez Jaena St., Hinigaran, Hinigaran, Negros Occidental"
UPSOURCE PHARMACY,"Door 1 D'Northway Bldg., B.S. Aquino Drive, Barangay 7, Bacolod, Negros Occidental"
CEDELLA PHARMACY,"JAL Building, Magallanes Street, Poblacion, Alimodian, Iloilo"
ROSE PHARMACY,"G/F Gaisano City, Arnaldo Boulevard, Brgy. Tanque, Roxas, Capiz"
HEALTHSURE DRUG & CONVENIENCE STORE,"E. Reyes Avenue, Poblacion Zone II, Estancia, Iloilo"
"FAMILYHEALTH & BEAUTY CORP.,","2F Robinsons Place Iloilo, cor. De Leon Quezon St., Brgy. Roxas Village, Iloilo City, Iloilo"
REESE PHARMACY,"Poblacion Tabuc, Mambusao, Capiz"
THE GENERICS PHARMACY,"No. 7 Domingo Rodriguez Dev't. Corp., Brgy. 40, Bacolod, Negros Occidental"
Cabalfin Drugstore,"R.Tabiana St., Leon, Iloilo"
MERCURY DRUG ,"Rizal St., Guimbal, Iloilo"
MERCURY DRUG,"Unit A-24, G/F, Festive Walk Mall, Barangay Q. Abeto-Mirasol, Mandurriao, Iloilo City, Iloilo"
TABLETAS 7 PHARMACY  & MEDICAL SUPPLIES MERCHANDISING ,"Lopez Jaena St., Brgy. 31, Bacolod, Negros Occidental"
JA'S MEDICINE CORNER,"Lopez Jaena St., Dumangas, Iloilo"
VED PHARMACY,"Tupaz St., Barotac Viejo, Iloilo"
MTR PHARMACY,"Capt. Sabi Street, Brgy. Zone 12, Talisay, Negros Occidental"
SOUTH STAR DRUG,"Robinson Supermarket, Alijis Road, Carmenville Subd., Barangay Mansilingan, Bacolod, Negros Occidental"
"METRO RETAIL STORES GROUP, INC.","Araneta St, Purok Providence, Sum-ag, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Stall A. Aquino Drive, 20th St., Bacolod, Negros Occidental"
ENZO'S DRUGSTORE,"Crossing Tabao,Tabao Proper, Valladolid, Negros Occidental"
EVZ PHARMACY,"Q. ABETO ST. MANDURRIAO, Iloilo City, Iloilo"
RX TRADE DRUGSTORE,"Lot 5, Blk. 1, Brgy. Rumirang, Isabela, Negros Occidental"
MEDIPLUS PHARMACY,"Balabag, Santa Barbara, Iloilo"
DR. PEDRO A. HINOLAN JR. PHARMACY,"Escalante City, Escalante, Negros Occidental"
BAC PHARMACY,"Barangay Bagumbayan, Tobias Fornier, Antique"
ROSE PHARMACY,"132 J.M. BASA ST., Iloilo City, Iloilo"
FARMACIA PATRICIA,"Brgy. Poblacion,  Elizalde, President Roxas, Capiz"
NEGROS GRACE PHARMACY,"Araneta St., Sum-ag, Bacolod, Negros Occidental"
MERCURY DRUG,"Corner Araneta-Luzuriaga Streets, Barangay 13, Bacolod, Negros Occidental"
FAMILYHEALTH & BEAUTY CORP.,"Lot 3A, Festive Walk Mall, Iloilo Business Park, Q. Abeto St., Brgy. Q. Abeto-Mirasol, Mandurriao, Iloilo City, Iloilo"
JELAN PHARMACY,"Brgy. 8, San Roque St., San Miguel, Iloilo"
EBOY PHARMACY,"GROUND FLOOR LUZ BUILDING, FELIX H. GORRICETA AVENUE, BARANGAY PANDAC, Pavia, Iloilo"
M.C TRINIDAD BLESSED PHARMACY,"Cor. Rizal Burgos St., Brgy. 1, Silay, Negros Occidental"
"MERCURY DRUG 	
","17 Ascalon St., Brgy. 2, Victorias, Negros Occidental"
THE GENERICS PHARMACY,"Mahogany Bldg., Blk 11 & 12, Magsaysay Ave., Brgy. Singcang-Airport, Bacolod, Negros Occidental"
AJK PHARMACY,"Balucuan, Dao, Capiz"
FARMACIA DELFIN,"Poblacion Tabuc, Maayon, Capiz"
ST. MICHAEL ARCHANGEL PHARMACY,"National Highway, Purok 3 M's, Brgy. Poblacion, Toboso, Negros Occidental"
POTOTAN FARMERS- MULTI- PURPOSE COOP DRUGSTORE,"Cor. Ladrido-T. Magbanua St., Pototan, Iloilo"
GENERIKA DRUGSTORE,"Lot 2 D-2 Blk. 4, Mabini & Margarita St., Libertad Barangay 40, Bacolod, Negros Occidental"
MERCURY DRUG ,"Jetty Port, Caticlan, Malay, Aklan"
MERCURY DRUG,"National Highway, Escalante, Negros Occidental"
The Generics Pharmacy,"Polacion, Takas, Cuartero, Capiz"
KATHYRYN PHARMACY,"Zone 3 Central Tubao, Valladolid, Negros Occidental"
PEDRO L. GINDAP MUNICIPAL HOSPITAL PHARMACY,"Lisub, Barbaza, Antique"
BOTIKA NUJI'S,"Door # 3, CJS Building, Montelibano St., Brgy. Granada, Bacolod, Negros Occidental"
MERCY GRACE DRUGSTORE,"BARANGAY 1 (POB.), Sipalay, Negros Occidental"
T2JK PHARMACY,"Rizal Street, Balintawak (Pob), Escalante, Negros Occidental"
K-M PHARMACY,"Barangay Purok III, Hedriana St., Pavia, Iloilo"
MEDEXPRESS DRUGSTORE,"Ayala Atria Park District, Don Donato Pison Avenue, Brgy. San Rafael, Mandurriao, Iloilo City, Iloilo"
ILOILO GRACE PHARMACY,"Ground Floor, Gaisano Capital, Roxas Avenue Ext., Kalibo, Aklan"
MERCURY DRUG,"DCDM Bldg., Don Victorino Salcedo St., Brgy. Poblacion, Ilawod, Sara, Iloilo"
TED'S PHARMACY,"Araneta St., Barotac Nuevo, Iloilo"
MEDCORE PHARMA,"Stall 119 &120 Pototan Commercial Complex, San Jose St., Pototan, Iloilo"
M.D PHARMACY,"Barangay Banica, Roxas, Capiz"
MERCURY DRUG ,"La Estrella Bldg., Roxas Avenue Extension, Brgy. Andagao, Kalibo, Aklan"
First Floral Hills Pharmacy,"131 National Road, Poblacion, Belison, Antique"
BOTIKA MZM,"STALL NO.1BLDG.A MONCPREZ BUILDING, INAYAWAN, Cauayan, Negros Occidental"
ILOILO GRACE PHARMACY,"Javellana Bldg. II, Jm Basa Street, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Gen. Luna St., Poblacion, Altavas, Aklan"
FTB Pharmacy,"Lacson Street, Fronting CLMMRH, Bacolod City, Brgy. 18, Bacolod, Negros Occidental"
SIPALAY CITY HEALTH OFFICE PHARMACY,"Barangay 2, Sipalay, Negros Occidental"
Mercury Drug ,"Gov. Villavert St., Barangay 8, San Jose, Antique"
YDPSALM PHARMACEUTICAL SUPPLY,"Block 8 Lot 22, Landheights Ville Subd. Jaro, Tagbac, Iloilo City, Iloilo"
SENATOR GERARDO M. ROXAS MEMORIAL DISTRICT HOSPITAL,"Brgy. Balucuan , Dao, Capiz"
SUPER K DRUG,"SIMEON AGUILAR STREET, Passi, Iloilo"
OAK PHARMACY,"Door 103 JMCT Residences, Margarita St., Brgy. Villamonte, Bacolod, Negros Occidental"
JDN PHARMACY,"Plaza Burgos, Burgos Street , Barangay 9, Bacolod, Negros Occidental"
ILOILO GRACE PHARMACY,"Gaisano Grand Mall Sara, Barangay Poblacion Market, Sara, Iloilo"
Farmacia Fortuna,"Gustilo St., Poblacion, Leganes, Iloilo"
SNAFCARE PHARMACY,"Phase 2 Stall No.16 Tigbauan Public Market, Tigbauan, Iloilo"
MIKEL PHARMACY,"Public Market, Brgy. Caduha-an, Cadiz, Negros Occidental"
ROSE PHARMACY,"Iznart-Ledesma Streets, Brgy. Edganzon, Iloilo City, Iloilo"
I S MEDICINE CORNER,"Valeria St., Iloilo City, Iloilo"
EARTH DRUGSTORE,"Cordova St., Brgy. 5, Kabankalan, Negros Occidental"
GILO PHARMACY,"Corner Gerona-Gonzales Sts., Guimbal, Iloilo"
FOURMULA 1+ BOTIKA NG BAYAN (F1 + BNB),"POBLACION, BRGY. IGMAYA-AN, Salvador Benedicto, Negros Occidental"
GENERIKA DRUGSTORE,"Stall #16 Passi Public Market, Dorillo St., Passi, Iloilo"
PALMA'S PHARMACY,"Chico Bldg., Bonifacio St., Brgy. Ma-ao, Bago, Negros Occidental"
JM PHARMACY,"ROCK HOUSE BUILDING, CONCORDIA SUR, Nueva Valencia, Guimaras"
XL PHARMACY & MEDICAL SUPPLIES,"#4 DESCARTIN BLDG., CORNER AB PARRENO-GALO STs, BARANGAY 20, Bacolod, Negros Occidental"
Gillet Pharmacy,"Mohon Dry & Wet Market, Bryg. San Nicolas, Oton, Iloilo"
SINCERE DRUGSTORE,"G/F GUANZON BLDG. GATUSLAO ST, BRGY 13, Bacolod, Negros Occidental"
MERCURY DRUG,"Cor. McKinley, Dewey and Taft Sts., Brgy. III, Roxas, Capiz"
THE GENERICS PHARMACY,"Ladrido St., Brgy. Poblacion Ilaya, Lambunao, Iloilo"
FARMACIA LAZARTE,"Metropolis Ave. Brgy. Tagbac, Jaro, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Araneta St., Brgy. Poblacion, Bago, Negros Occidental"
MERCURY DRUG,"Guanzon St., Brgy. V, Kabankalan, Negros Occidental"
BAC PHARMACY,"Brgy. Bagumbayan, Tobias Fornier, Antique"
MEDIANA DRUGSTORE,"Thompson St., Maasin, Iloilo"
THE GENERICS PHARMACY,"Unit 2 GF L29-30 cor. Gonzaga Maravilla Ave., Barangay Estefania, Bacolod, Negros Occidental"
J. D. N. PHARMACY,"Dr. B, Angelina Bldg. Bangga Sawmill, Brgy. Bata, Bacolod, Negros Occidental"
ROSE PHARMACY,"JA 006A and JA 007A SM City Iloilo, Benigno Aquino Avenue, Mandurriao, Iloilo City, Iloilo"
Mercury Drug,"Immaculate Heart of Mary Avenue, Pueblo De Panay, Brgy. Lawa-an, Roxas, Capiz"
FARMACIA DOS DUMAGUEÑOS,"Dominado Street, Embarcadero Public Market, Dumangas, Iloilo"
THE GENERICS PHARMACY,"Puregold Building, corner Mabini-Libertad Sts., Brgy. 40, Bacolod, Negros Occidental"
FOURMULA 1 + BOTIKA NG BAYAN (F1+BNB),"Poblacion, Caluya, Antique"
ROSE PHARMACY,"J.M. Basa - Guanco Street, Barangay Nonoy, Iloilo City, Iloilo"
TRI DRAG PHARMACY,"A.B. PARREÑO, GALO-BBB STREET, BARANGAY 20, Bacolod, Negros Occidental"
IDJ PHARMACY,"Adelantar Comp. Phase V, Alta Tierra Vill., Brgy. Quintin Salas, Jaro, Iloilo City, Iloilo"
GEN'S DRUG STATION BOTIKA NG BAYAN,"ILAWOD, Pontevedra, Capiz"
The Generics Pharmacy,"CORNER NORTH DRIVE SAN JUAN ST., BRGY. 2, Bacolod, Negros Occidental"
KAPITAN PHARMACY,"Guzman St., Mandurriao, Iloilo City, Iloilo"
NEGROS GRACE PHARMACY,"Magallanes Street, Brgy. Sto. Rosario, Binalbagan, Negros Occidental"
IRENZ PHARMACY & MEDICAL SUPPLY,"Brgy. Bancal, Alimodian, Alimodian, Iloilo"
THE GENERICS PHARMACY,"Building 1080, Poblacion, President Roxas, Capiz"
FOODMAN PHARMACY,"Jacman Bldg., Calle P. Burgos St., Silay, Negros Occidental"
I.S MEDICINE CORNER,"Iloilo Supermart, Plaza Molo, Iloilo City, Iloilo"
St. Baraquiel Pharmacy,"Don T. Lutero Center, Janiuay, Iloilo, Janiuay, Iloilo"
EMTC DRUGSTORE,"Ibarro Bldg.,  Brgy. Sagua, Anini-y, Antique"
JM PHARMACY,"Maquiling St., Brgy. Barangay Purok IV, Pavia, Iloilo"
FARMACIA PALMES,"Passi Public Market, Passi, Iloilo"
NEGROS GRACE PHARMACY,"#69 Block 2, Homesite, Bacolod, Negros Occidental"
3 J.E. DRUGSTORE,"Jover St., Brgy. II, Victorias, Negros Occidental"
FAMILYHEALTH & BEAUTY CORP.,"LGF SM Hypermarket Cadiz, Abelarde St, Cadiz, Negros Occidental"
Athena Drugstore,"Sitio Poblacion, Cabano, San Lorenzo, Guimaras"
FASTLANE DRUGSTORE & MEDICAL CLINIC,"Tirol Bldg., Rizal St., Maasin, Iloilo"
MEDEXPRESS DRUGSTORE,"Ayala Atria Park District, Don Donato Pison Avenue, Brgy. San Rafael, , Mandurriao, Iloilo City, Iloilo"
"BOTIKANG PINOY, INC.","Brgy. Q. Abeto-Mirasol, Mandurriao, Iloilo City, Iloilo"
MERCURY DRUG,"Roxas Avenue, Roxas, Capiz"
CALATRAVA MUNICIPAL HOSPITAL PHARMACY,"Brgy. Suba, Calatrava, Negros Occidental"
FARMACIA NI DOK,"LOT NO.2 AND 3, 8th ST., LAWA-AN LOPEZ VILLAGE, BRGY. BALANTANG, JARO, Iloilo City, Iloilo"
RDC Pharma Corporation,"Bangga Bante, Jalaud Norte, Zarraga, Zarraga, Iloilo"
ER2 STARVAL DRUGSTORE,"STAR CABLE BUILDING, MONTINOLA STREET, BRGY III, Victorias, Negros Occidental"
STO. ROSARIO DRUGSTORE,"Talisay Public Market, Talisay, Negros Occidental"
HORMEL PHARMACY,"Melliza St., Brgy. Poblacion, Ilaud, Zarraga, Iloilo"
PHARMALAB MEDICAL AND DIAGNOSTIC CENTER AND PHARMACY,"Barangay Tiolas, San Joaquin, Iloilo"
THE GENERICS PHARMACY,"POBLACION TAKAS, Cuartero, Capiz"
BAYKING PHARMACY,"Stall #3 & #4, Miag-ao Public Market, Octaviano St., Baybay Norte (Pob.) , Miagao, Iloilo"
Negros Grace Pharmacy,"Gatuslao St., Bacolod, Negros Occidental"
RX TRADE DRUGSTORE,"National Highway, Brgy. Tabao Proper, Valladolid, Negros Occidental"
NEGROS GRACE PHARMACY,"G/F Lopue's East Centre, Burgos Hilado St., National Highway, Brgy. Villamonte, Bacolod, Negros Occidental"
FAMILYHEALTH & BEAUTY CORP.,"Sitio Asinan, J.C. Zulueta St., Brgy. Poblacion South, Oton, Iloilo"
GENERIKA DRUGSTORE,"D. B. Oñate St., Poblacion, Concepcion, Iloilo"
CJE PHARMACY,"Dionela Commercial Complex, Brgy. Centro Norte, Pandan, Antique"
MERCURY DRUG,"Door 2 Sia-Chan Lek Bldg., National Road cor. Dalisay St., Barangay Poblacion, Ibajay, Aklan"
NEGROS GRACE PHARMACY,"Purok Jasmin, National Highway, Balintawak, Escalante, Negros Occidental"
Gurleen Pharmacy,"5th Street, Lawaan Village, Balantang, Jaro, Iloilo City, Iloilo City, Iloilo"
FARMACIA DE SALVACION,"Rizal, San Carlos, Negros Occidental"
NEGROS GRACE PHARMACY,"Vertland Bldg., San Juan St., Brgy. 10, Bacolod, Negros Occidental"
MERCURY DRUG,"G/F G005-06 GT Town Center, VP Fernando Lopez Avenue, Brgy. Ungka II, Pavia, Iloilo"
NEGROS GRACE PHARMACY,"Vertland Bldg., San Juan St., Brgy. 10, Bacolod, Negros Occidental"
MERCURY DRUG,"Martelino Bldg., Roxas Ave., Brgy. Poblacion, Kalibo, Aklan"
SUPER K DRUG-VIII,"Mabini St., Poblacion, Kalibo, Aklan"
BIOPRO DISCOUNT PHARMACY,"Powell Bldg., J.M. Basa St., Plaza Libertad, Iloilo City, Iloilo City, Iloilo"
MERCURY DRUG,"Jose Alba Building, Mabini St., Barangay Poblacion, Kalibo, Aklan"
FOURTH PHARMACY,"Stall # 05, OPM New Market Building, Brgy. Pob. South, Oton, Iloilo"
Erin's Family Pharmacy,"J & B 3 Bldg., Quezon Street, Iloilo City, Ed Ganzon, Iloilo City, Iloilo"
ILOILO GRACE PHARMACY,"Gaisano Grand Mall, Barangay Poblacion Zone II, Estancia, Iloilo"
PETER & PHARIZ I DRUGSTORE,"Barangay Poblacion Ilawod, Passi, Iloilo"
INIGO'S PHARMACY,"Brgy. 5 (Pob.), Kabankalan, Negros Occidental"
GENERIKA DRUGSTORE,"Dorillo St., Passi, Iloilo"
NEGROS GRACE PHARMACY,"Ground Floor Angela Arcade, Corner Burgos Extension and Circumferential Road, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Ascalos corner De Leon St., Brgy. II, Victorias, Negros Occidental"
NEGROS GRACE PHARMACY,"888 China Town Square, corner Gatuslao St., Cottage Road, Bacolod, Negros Occidental"
FAMILYHEALTH & BEAUTY CORP.,"2F Robinsons Place Antique, Brgy. San Angel, San Jose, Antique"
B & B DRUGSTORE,"Cañonero St., Alimodian Public Market, Alimodian, Iloilo"
NEGROS GRACE PHARMACY,"Lopue's San Sebastian Bldg., Brgy. Gargato, Hinigaran, Negros Occidental"
TRIPLE-K PHARMACY,"Seth's Bldg., Dumas St., Brgy. San Pedro, Binalbagan, Negros Occidental"
THE GENERICS PHARMACY,"G/F Yulo Bldg. 16-08 Gatuslao St., Brgy. 12, Bacolod, Negros Occidental"
NEGROS GRACE PHARMACY 8880,"Lopue's San Sebastian Bldg.,Brgy. Gargato, Hinigaran, Negros Occidental"
RNM PHARMACY,"RAFAEL SALAS DRIVE, BALINGASAG, Bago, Negros Occidental"
J. BELUSO DRUGSTORE,"Golden Paragon Mall, Brgy. Libot, Calinog, Iloilo"
Negros Grace Pharmacy,"Corner Yunque-Virto Sts., La Carlota, Negros Occidental"
AJF MEDICAL CLINIC AND PHARMACY,"Dacuton Public Market, Dumarao, Capiz"
ILOILO GRACE PHARMACY,"# 73 Iznart St., Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Stall No. 10 Sipalay Public Market, Brgy. 1, Sipalay, Negros Occidental"
FASTLANE DRUGSTORE & MEDICAL CLINIC,"Brgy. Ungka II, Pavia, Iloilo"
THE GENERICS PHARMACY,"Lot 16-b, Block 23, Brgy. Bata, Bacolod, Negros Occidental"
LOIZ PHARMACY,"Zone 4, Brgy. Jibao-an, Pavia, Iloilo"
ROSE PHARMACY,"cor. Araneta & Cartagena Sts., Brgy. Ilaud Poblacion, Barotac Nuevo, Iloilo"
JBJ Medical Health Corporation,"Lot 2835, Gustilo Street, Poblacion, Leganes Iloilo, Leganes, Iloilo"
MADELEINE PHARMACY,"CDT REAL ESTATE PROPERTY LEASING, MAYOR M. DIONELA STREET, CENTRO NORTE, Pandan, Antique"
Mercury Drug,"17 Ascalon St., Brgy. 2, Victorias, Negros Occidental"
BENZ PHARMACY,"Door #1 ADR Building, Bonifacio Street, Brgy. Zone 6, Talisay, Negros Occidental"
JIMSCURE PHARMACY,"M. H. Del Pilar St., , Barotac Nuevo, Iloilo"
CONFLUENCE HEALTH AND WELLNESS PRODUCTS,"Ground Floor, Injap Supermart, Arnaldo Boulevard, Baybay, Roxas, Capiz"
THE GENERICS PHARMACY,"No. 7 Domingo Rodriguez Dev't. Corp., Brgy. 40, Bacolod, Negros Occidental"
BOTIKA ILONGGO,"St. Catherine Arcade, Aldeguer St., Barangay Magsaysay, City Proper, Iloilo City, Iloilo"
RX QUEEN PHARMACY,"PCPM (Passi City Public Market) Main, Passi, Iloilo"
HEALTHMART DRUGSTORE,"Francisco Maravilla Street, Poblacion III, Enrique B. Magalona, Negros Occidental"
MERCURY DRUG,"GM Alvarez Bldg., Brgy. 1, Kabankalan, Negros Occidental"
THE GENERICS PHARMACY,"Lot 22, Blk. 1 Lucky Homes, Brgy. Handumanan, Bacolod, Negros Occidental"
ROSE PHARMACY,"Gaisano City, Kalibo, Andagao, Kalibo, Aklan"
ILOILO GRACE PHARMACY,"Q. Abeto St., Abeto-Mirasol, Mandurriao, Iloilo City, Iloilo"
VALDEMAR DRUGSTORE,"Poblacion, Jamindan, Capiz"
CONFLUENCE HEALTH AND WELLNESS PRODUCTS,"Brgy. Tagbac, Jaro, Iloilo City, Iloilo"
FARMACIA BENJAMIN II,"C-1 TEODORO ARCENAS TRADE CENTER, ROXAS CITY, Roxas, Capiz"
Negros Grace Pharmacy,"Socorro Real Estate Bldg., Brgy. 12, Bacolod, Negros Occidental"
ILOILO GRACE PHARMACY,"Gaisano Roxas-Marketplace,  San Roque Ext., Roxas, Capiz"
CHME BOTIKA MART,"Corner Rodriguez -Yulo St., Purok Million Flower, Brgy. 34, Bacolod, Negros Occidental"
MERCURY DRUG,"RBV Bldg., Arnaldo Blvd., Brgy. Tanque, Roxas, Capiz"
