REGION,CHD,PROVINCE,CITY,COMPLETE ADDRESS,OWNERSHIP,NAME OF CLINIC,NO. OF STATION,HEAD OF THE FACILITY,CONTACT NUMBER,VALIDITY
REGION 4A,CALABARZON,LAGUNA,Calamba City,"Unit 7, LGC Bldg., Parian, Calamba City, Laguna",PVT,"MEGA HEALTH DIALYSIS CENTER, INC.",9,Dr. Eric Jude M. Cariano,049-5218082,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,LAGUNA,Calamba City,"Dr. Jose P. Rizal Memorial Dist. Hospital, Bucal, Calamba City, Laguna",PVT,"NEPHRO SYNERGIES, INC.",9,Dr. Norman C. Constantino,049-5217759,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,LAGUNA,Calamba City,"G/F Milan Prestige Bldg., National Highway, Brgy. Halang, Calamba City, Laguna",PVT,"NEPHROLOGY CENTER OF CALAMBA, LAGUNA, INC.",15,Dr. Hana Marie Biagtan,049-5308189 / 5309819,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,LAGUNA,Calamba City,"Penthouse Makiling Medical Clinic and Diagnostic Center, Lot 5, Block 3, Pan Philippines Highway, Brgy. Milagrosa, Calamba City, Laguna",PVT,OUR LADY OF LOURDES DIALYSIS CENTER ,8,Dr. Marilyn Vinluan -Olveda,0919-0985221,"Aug. 16, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,San Pablo City,"Km. 81 Maharlika Hiway San Roque, San Pablo City, Laguna",PVT,KOLFF DIALYSIS INC.,10,Dr. Keneth Lim,0927-6255544,"Dec. 15, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,LAGUNA,San Pablo City,"M. Brion St., Brgy. 4-C, San Pablo City, Laguna",PVT,NEPHRO PLUS DIALYSIS CENTER,11,Dr. Rica S. Carpio,049-5212453/09193136836/09088859295 /,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,San Pablo City,"General Antonio Luna Road, Brgy. IV-A, San Pablo City, Laguna",PVT,"RENAL HUB AND MANAGEMENT, INC. ",8,Dr. Edgal Palacol,0917-1848706,"Dec. 20, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,San Pedro City,"Km. 31, National Highway, Brgy. Nueva, San Pedro, Laguna",PVT,"ROYAL CARE DIALYSIS CENTER, INC.",16,Dr. Dan Michael Dones,8010995 / 0922-8153076,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,LAGUNA,San Pedro City,"Building 2, Centro Pacita, Pacita Complex, San Vicente, Phase II, San Pedro City, Laguna",PVT,TMS DIALYSIS CENTER - SAN PEDRO,29,Dr. Maria Angeline Ledesma-Gumba,02-85538259,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,LAGUNA,Sta. Rosa City,"2nd Floor, Robinsons Santa Rosa, National Highway,Brgy. Tagapo, Sta. Rosa City, Laguna",PVT,"NEPHROASIA DIALYSIS CENTER, INC.",13,Dr. Vincent Paul Filio,049-5454792,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,Sta. Rosa City,"3rd Floor, PMP DiagnosticsCenter Bldg., 1241-A-1 National Highway, Brgy. Dita, Sta. Rosa City, Laguna",PVT,KIDNEYCARE DIALYSIS CENTER,4,Dr. Jose Maria Allessandro Libo-on,0917-8733451,"Oct. 23, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,LAGUNA,Sta. Rosa City,"RSBS Boulevard, San Lorenzo South, Barangay Balibago, Sta. Rosa, Laguna",PVT,"THERAPY MANAGEMENT SERVICES PHILS., INC.",24,Dr. Christian Sigfried T. Estanislao,0917-5681564,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,QUEZON,,"Maharlika Highway, Brgy. Masin Sur, Candelaria, Quezon",PVT,"CANDELARIA KIDNEY CARE, INC.",10,Dr. Christina Erika L. Basilan,5852300,"July 21, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,QUEZON,Lucena City,"Unit 1D-1E, G/F LIC Bldg., #1080 Doña Aurora Blvd., Brgy. Gulang Gulang, Lucena City, Quezon",PVT,"KOLFF DIALYSIS, INC.",12,Dr. Rose Marie Ho Yu,042-3220267,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,QUEZON,Lucena City,"No. 13 Quezon Ave., Lucena City, Quezon",PVT,QUEZON MMG DIALYSIS CENTER,11,Dr. Cesar Villamayor,042-7102288 / 710-8050,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,QUEZON,Lucena City,"Lot 9, Blk 7, Pleasant Village Subd., A. Boni Drive, Ilayang Iyam, Lucena City, Quezon",PVT,TRINITY DIALYSIS CENTER ,12,Dr. Melody A. Peña,042-7884383/0927-8558954,"Jan. 12, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,,"138 M.L. Quezon , Angono, Rizal",PVT,"GLOBAL BIOTECH HEALTHCARE, INC.",10,Dr. Marie Stella L. Navarro,6637366 / 0917-8588080 / 0998-5763858,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,RIZAL,,"490 M.L. Quezon St., Brgy. San Isidro, Angono, Rizal",PVT,RIZAL DIALYSIS AND WELLNESS CENTER OPC ,12,Dr. Alwyn Johanna S. Santos,0921-7473308,"Nov. 29, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,,"Manila East Road, Brgy. Pag-Asa, Binangonan, Rizal",PVT,"ANGONO-BINANGONAN CENTER OF DIALYSIS, INC. ",15,Dr. Jason Paul Medina,02-85631538 / 0995-1052080,"May 14, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,,"3rd Floor, Rublou Business Center, Ortigas Ave. Ext., Brgy. Sto. Domingo, Cainta, Rizal",PVT,ASIA KIDNEY CARE CENTER,11,Dr. Joselito A. Mora,0921-9932626,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,RIZAL,,"Unit A, G/F Alpha Square Bldg., 19 A. Bonifacio Ave., Brgy. Santo Domingo, Cainta, Rizal",PVT,"CLAREMONT DIALYSIS CENTER, INC. ",15,Dr. J. Meinard Nepomuceno,0977-8198340,"Aug. 23, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,,"2nd Floor, Cainta Municipal Hospital, Municipal Compound, Brgy. Sto. Domingo, Cainta, Rizal",PVT,JORTIZ DIALYSIS CENTER ,5,Dr. Zarah Marie Zamaora-Tan,0945-9629336/ 0917-71364313,"Oct. 29, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,,"Km. 18, Ortigas Ave. Ext., Brgy. Sto. Niño, Cainta, Rizal",PVT,"PADRE PIO KIDNEY CARE CENTER, INC.",15,Dr. Glennis Fiona J. Javelosa-Tan,02-7213-4707 / 0917-3280245,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,RIZAL,,"1 GS National Road, Looc, Cardona, Rizal",PVT,CARLOS MEDICAL AND MATERNITY CLINIC,11,Dr. Carmel M. Carlos,84015360 / 87272731,"Nov. 11, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,RIZAL,,"Tomas Claudio St., Sitio Paglabas, Barangay San Pedro, Morong, Rizal",PVT,"MORONG MEDICAL AND HEMODIALYSIS CENTER, INC.",28,Dr. Ana Maricon A. Gabas,9778571588,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,,"102-105 SM BPO Bldg., Manila East Road, Brgy. Dolores, Taytay, Rizal",PVT,THE MEDICAL CITY CLINIC @ SM TAYTAY ,11,Dr. Jocelyn Paragas-Javier,0995-4793125,"Dec. 22, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,,"Ground Floor, St. Therese De Lima Medical Hospital, National Highway, Bagumbayan, Teresa, Rizal",PVT,"ANGONO-BINANGONAN CENTER OF DIALYSIS, INC.",15,Dr. Jason Paul T. Medina,0917-1071680 /,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,RIZAL,,"Gen. Luna St. cor. Mabini St., Brgy. Sta. Ana, San Mateo, Rizal",PVT,FRANCYN DIALYSIS CENTER,5,Dr. Cynthia Quiring-Pua,8534-1200/0933-1334541,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,RIZAL,Antipolo City,"4th Floor, Dionisio M. Cornel Medical Center, Inc., Masinag, Marcos Highway, Mayamot, Antipolo City",PVT,"GC HEMODYNAMIX, INC.",21,Dr. Gjay L. Ordinal,8645-0411,"May 28, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,RIZAL,Antipolo City,"#45 Marcos Highway, Brgy. Mayamot, Antipolo City, Rizal",PVT,"NEPHROLOGY CENTER OF PASIG CITY, INC.",15,Dr. Ma. Czarlota A. Valdenor,0999-3731018 / 0933-0714076 / 02-3767148,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,RIZAL,Antipolo City,"Sen. Lorenzo Sumulong Memorial Circle, San Roque, Antipolo City, Rizal",PVT,PADRE PIO KIDNEY CARE CENTER CO.,19,Dr. `Bea Barbara Carrascal,02-8727-0939/09778571588,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,RIZAL,Antipolo City,"Amio Race Bldg., Circumferential Road, Brgy. Dalig, Antipolo City",PVT,"THERAPY MANAGEMENT SERVICES PHILS, INC.",11,Dr. Kristian Anteolin Punzalan,0917-5973887 / 0998-3917771,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4B,MIMAROPA,OCCIDENTAL MINDORO,,"No. 4 J.P. Rizal St., Barangay 4, Mamburao Occidental Mindoro",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",8,Dr. Tennille Tan,0917-653-6602,"Jan.1, 2022 to Dec.31, 2024"
REGION 4B,MIMAROPA,OCCIDENTAL MINDORO,,"National Highway, Barangay Bubog, San Jose, Occidental Mindoro",PVT,"B. BRAUN AVITUM PHILIPPINES, INC. ",14,Dr. Tennile Tan,0917 597 2887,"July 2, 2021 to Dec. 31, 2023"
REGION 4B,MIMAROPA,OCCIDENTAL MINDORO,,"Balmas Bldg., Diego Silang St., Brgy. 5, San Jose, Occidental Mindoro",PVT,MINDORO OCCIDENTAL MEDICAL MISSION GROUP HEALTH SERVICE COOPERATIVE (MOMMGHSC),9,Dr. Anna Monica R. Bracamonte,(043) 742 6268,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4B,MIMAROPA,PALAWAN,Puerto Princesa City,"Sea Road 1, Ponce De Leon, Brgy. San Pedro, Puerto Princesa City, Palawan",PVT,"PADRE PIO MEDICAL AND SURGICAL ASSOCIATES, INC.",14,Dr. Ruth S. Miraflores,048-4330890 / 048-4330259 / 0917-7219439,"Feb. 16, 2021 to Dec. 31, 2023"
REGION 4B,MIMAROPA,PALAWAN,Puerto Princesa City,"corner Burgos & Mabini Sts., Puerto Princesa City, Palawan",PVT,PALAWAN MEDICAL MISSION GROUP MULTIPURPOSE COOPERATIVE (PMMGMPC),12,Dr. Paul S. Castillo,048-4345580/3255 / 4336137 fax /,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4B,MIMAROPA,PALAWAN,Puerto Princesa City,"Solid Road, Brgy. San Manuel, Puerto Princesa City, Palawan",PVT,TRUECARE DIALYSIS CENTER ,15,Dr. Ruth Miraflores,09335174023/0905794461,"Sept. 14, 2021 to Dec. 31, 2023"
REGION 5,BICOL,ALBAY,,"2F Samar Bldg. Gabon, Polangui, Albay",PVT,MEDICAL MISSION GROUP MULTIPURPOSE COOPERATIVE-ALBAY(MMG-ALBAY),4,Dr. Marilou B. Cmpuesto,0945 3729827,"Jan.1, 2022 to Dec.31, 2024"
REGION 5,BICOL,ALBAY,,"130 Centro Oriental Polangui, Albay",PVT,OUR LADY OF PERPETUAL HELP DIAGNOSTIC AND DIALYSIS CENTER,6,Dr. Myrna de Leon Najar,9175052381,"Feb. 8, 2021 to Dec. 31, 2023"
REGION 5,BICOL,ALBAY,Legaspi City,"2/F Estevez Memorial Hospital, Annex Bldg., guevarra Subd., Legaspi City, Albay",PVT,BICOL HEMODIALYSIS CENTER CORP.,18,Dr/ Lorna Yap-Wong,052-7426592 / 7426756,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 5,BICOL,ALBAY,Legazpi City,"Miranda Plaza Bldg., Rizal St. Sagpon Legazpi, Albay",PVT,"NEPHROLOGY CENTER OF BICOL, INC.",6,Dr. Arnel C. Villanueva,3767800 / 3767149,"Jan.1, 2022 to Dec.31, 2024"
REGION 5,BICOL,ALBAY,Legazpi CIty,"Purok 2, Peñaranda St. Brgy. 33 Legazpi City, Albay Bicol",PVT,"SAINT MARY KIDNEY CARE, INC.",6,Dr. Melissa Tita Luna Antonio,0977-630-0151,"Jan.1, 2022 to Dec.31, 2024"
REGION 5,BICOL,CAMARINES SUR,Iriga City,"Iriga City Health Office Extension Sta. Cruz Sur, Iriga City",PVT,NEPHRO SYNERGIES INC. ,15,Dr. Kristine June Barba,0961 8777267,"June 9, 2021 to Dec. 31, 2023"
REGION 5,BICOL,CAMARINES SUR,Naga City,"3B M. Plaza, Roxas Ave., Diversion Road, Triangulo, Naga City, Camarines Sur",PVT,BICOL RENAL CARE ASSOCIATES CORP.,14,Dr. Leslie A. Yap,(054) 4708112,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 5,BICOL,CAMARINES SUR,Naga City,"BAHC-Pedro Olivan Medical Arts Bldg., CBD II, Brgy. Triangulo II, Naga City",PVT,"NAGA HEMODIALYSIS CENTER, INC.",10,Dr. Rizalina Rosales-Ramos,(054) 472 5542,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 5,BICOL,CAMARINES SUR,Naga City,"Naga City Health Bldg., Concepcion Pequeña, Naga City, Camarines Sur",PVT,"NEPHRO SYNERGIES, INC.",14,Dr. Josephine V. Bonos,0971 5731694,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 5,BICOL,CAMARINES SUR,Naga City,"#18 Magsaysay Avenue, Concepcion Pequeña, Naga City, Camarines Sur",PVT,OPTIMUM KIDNEY CARE SOLUTIONS INC.,8,Dr. Josephine V. Bonos,(054) 871 3971,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 5,BICOL,CAMARINES SUR,Naga City,"Nolo Priceton St., City Heights Subd., Concepcion Pequeña. Naga City, Camarines Sur",PVT,THE JESUS HERNANDEZ DIALYSIS CENTER (TJHDC),6,Dr. Cherie Villamora,054-2050542,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 5,BICOL,MASBATE,,"National Road, Brgy. Tugbo, Masbate",PVT,RENAL HEALTH AND DIALYSIS CARE CENTER,7,Dr. Chona Tagayuna-Dela Pena,(056) 333 0370,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 5,BICOL,SORSOGON,,"Bonifacio St., Luna Candol, Gubat, Sorsogon",PVT,SORSOGON MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICE COOPERATIVE.,4,Dr. Irwyn Francis R. Mortel,0915 2327789,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 5,BICOL,SORSOGON,,"Gerona St., Zone 3, Bulan, Sorsogon",PVT,SORSOGON MEDICAL MISSION GROUP HOSPITAL AND HEALTH COOPERATIVE,5,Dr. Joy Galino-Lacerna,0956-820-1078,"Feb. 5, 2020 to Dec. 31, 2022"
REGION 5,BICOL,SORSOGON,Sorsogon City,"501 Alegre St., Balogo, Sorsogon City. Sorsogon",PVT,"METRO HEALTH LABORATORY AND MEDICAL SERVICES, INC.",9,Dr. Dorothea Farah Dorion-Jarabo,(056) 421 5123,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 5,BICOL,SORSOGON,Sorsogon City,"Garcia St., Bgy. Sulucan, Sorsogon City",PVT,SORSOGON MEDICAL MISSION GROUP HOSPITAL AND HEALTH COOPERATIVE,5,Dr. Joy Galino-Lacerna,0915-218-2098,"Feb. 5, 2020 to Dec. 31, 2022"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"Unit 2,4 & 27 G/F City Time Square Benigno Aquino Ave., Brgy. San Rafael Mandurriao, Iloilo City, Iloilo",PVT,"CENTER FOR RENAL REPLACEMENT THERAPY, INC. ",16,Dr. Annia Rae Nicolasora,9171704266,"Aug. 15, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"78 Hechanova St., Brgy. Nabitasan, Lapaz, Iloilo City",PVT,FREMONT RENAL CARE AND MEDICAL CLINIC,16,Dr. Ethel D. Cordero,033-5094164,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"Uy-Bico Bldg., Yulo St.B191:D194, Iloilo City",PVT,"HARTMAN DIALYSIS CENTER, INC.",23,Dr. Rey A. Isidro,033-3275767/09989598003,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"Brgy. San Agustin, Iloilo City",PVT,"M-3 DIALYSIS CENTER, INC",20,Dr. Agnes Jean M. Villafor,033-5099760,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"GF Units A16-A18 Festive Walk Parade 1 - B, Iloilo Business Park, Brgy. Taft North, Mandurriao, Iloilo City",PVT,"MDSS CROSSWAY KIDNEY CARE, INC.",20,Dr. Marie Hazel Ivy Mueno,,"Dec. 6, 2021 to Dec. 2023"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"Donato Pison Avenue, Brgy. San Rafael, Mandurriao, Iloilo City",PVT,MEDICUS HEALTHCARE PLAZA HEMODIALYSIS CENTER,15,Dr. Maria Kristina G.Almonte,9171825700,"Jan.1, 2022 to Dec.31, 2024"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"Simeon Aguilar St., Poblacion Ilawod, Passi City, Iloilo City",PVT,NEFRON DIALYSIS CENTER,12,Dr Joel Advincula,033-3115508/09452176611,"Jan.1, 2022 to Dec.31, 2024"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"The Medical City-Iloilo, Locsin St., Molo, Iloilo City",PVT,"NEPHRO SYNERGIES, INC.",13,Dr. Maria Bernadeth I. Eslaban,033-5001000 loc. 50040,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"Dungon A Jaro, Iloilo City, Iloilo",PVT,"RENAL SPECIALTY, INC",13,Dr. Ma. Daylinda A. Chung,033-323231,"Jan.1, 2022-Dec. 31, 2024"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"corner E.Lopez-Javellana St., Bgy San Jose, Iloilo City",PVT,RENAL SPECIALTY INC.,16,Dr. Rey Isidto,9190659747/033-3233820,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"Lopez Jaenaa, East Baluarte, Iloilo City, Iloilo",PVT,The USWAG ILOILO DIALYSIS CENTER ,3,Dr. Marie Hazel Ivy Mueño,033-3325593,"Dec. 10, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,ILOILO,Passi City,"3rd Floor, R&T Bldg., Corner Commonwealth Drive & Simeon Aguilar St., Poblacion Ilawod, Passi City, Iloilo",PVT,FRONTHUB DIALYSIS CENTER ,10,Dr. Annia Rae Nicolasora,033-5022049 / 09255223396,"July 22, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,CAPIZ,Roxas City,"Tambis St., Brgy. Tiza, Roxas City, Capiz",PVT,D & E DIALYSIS CENTER,6,Marie Hazel Ivy Mirasol Mueño,036-6205639,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,CAPIZ,Roxas City,"Arnaldo Boulevard, Brgy. Baybay, Roxas City, Capiz",PVT,PHOENICIAN DIALYSIS CENTERS ,10,Dr. Marianne Diaz-Belonio,036-5201455/09177010090,"May 24, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"Tindalo-Lopez Jaena Sts., Brgy. Villamonte, Bacolod City, Negros Occidental",PVT,"M-3 DIALYSIS CENTER, INC",32,Dr. Reynold I. iledan,034-702325,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"Nord Medical Hub, BS Aquino Drive, Brgy. Villamonte, Bacolod city, Negros Occidental",PVT,"M-3 DIALYSIS CENTER, INC.",21,Dr. Reynold I. Iledan,034-4452729,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"Door 106-109, 204-207 Vecino Bldg., Lacson St., Bacolod City",PVT,"NEPHRO GROUP DIALYSIS CENTER, INC ",15,Dr. Maricris B. Araneta,9619062724,"May 5, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"3rd St. Lacson, Brgy. 17, Bacolod City, Negros Occidental",PVT,"PREMIER NEPHRO CARE SYSTEM, INC.",20,"Dr. Gil N. Octaviano, Jr., CEO",9950741374,"Oct. 7, 2020 to Dec. 31, 2022"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"3rd- Lacson St., Brgy. 17, Bacolod City, Negros Occidental",PVT,"RENAL THERAPY SOLUTIONS, INC. ",20,"Dr. Ma. Clarideth O. Guanzon, Head",0928-502-6294 / 0928-502-6294,"Nov. 18, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Bacolod City,"SM City (South Wing), Luzuriaga St., Brgy. 12, Bacolod City, Negros Occidental",PVT,"THE RIVERSIDE MEDICAL CENTER, INC.",11,"Dr, Alvin JayD. Parreno",034-4354052/5532,"Jan 1, 2020 to Dec. 31, 2022"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Cadiz City,"Magsaysay St, Zone 3, Cadiz City, Negros Occidental",PVT,"CADIZ DIALYSIS HUB, INC.",12,Dr. Myla Antonette King,9398958390/09082321617,"Jan.1, 2022 to Dec.31, 2024"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Kabankalan City,"National Highway, 2014 JC, Sitio Mohon, Brgy. Binicuil, Kabankalan City, Negros Occidental",PVT,"ARCHANGEL RAPHAEL DIALYSIS CENTER, INC",6,"Dr. Jeffty Castillon, FPCP",4715007/09236328531,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Silay City,"Unit 8, Mallery Bldg., Jalandoni, brgy. Lantad, Silay City, Negros Occidental",PVT,SILAY KIDNEY AND DIALYSIS CENTER CORP. ,12,"Dr. Ma. Estrella Ledesma, MBA",0960-8584941,"Dec. 1, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Talisay City,"Lot 6 Nlk. 3, Miramar Subd., Zone 15, Talisay City, Negros Occidental",PVT,HMOM MEDICAL SPECIALTY CENTER,22,Mr. Reynold Wong,034-4359362/9123395867,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Victorias City,"Montinola St., Brgy. IV, Victorias City, Negros Occidental",PVT,VICTORIAS CITY HEALTH HEMODIALYSIS CENTER ,4,Dr. Richard P. Garlitos,082-227-4422,"Nov. 18, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"Central Nautical Highway Jubay Liloan, Cebu",PVT,NEPHRO SPECIALIST OF LILOAN INCORPORATED ,15,Dr. Hariett Porsuelo-Torres,0927-5378901/4103427,"Mar. 31, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,Cebu,,"Ward 1, Poblacion, Minglanilla, Cebu",PVT,SAN LUCAS MEDICAL,16,Dr. Alvin R. Arenajo,032-2313898 / 0998-9672400,"Jan.1, 2022 to Dec.31, 2024"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"3rd Floor EFG Bldg., Capitol Compound, Capitol Site, Cebu City, Cebu",PVT,CEBU CFI COMMUNITY COOPERATIVE,5,Dr. Rolland Matthew L. Escoben,032-2538103,"Mar. 13, 2020 to Dec. 31, 2022"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"G/F CKU Bldg., J. Llorente St., Capitol Site, Cebu City",PVT,FRESENIUS KIDNEY CARE,11,"Dr. Alexander U. Tan, Jr.",032-255112,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"174 M.P. Yap St. Cor. M. Roa St., Capitol, Cebu City",PVT,FRESENIUS KIDNEY CARE,14,Dr. Ophelia C. Buot,032-3452857,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"979 V. Rama Ave., Guadalupe, Cebu City",PVT,"METRO CEBU KIDNEY DIALYSIS CENTER, INC.",15,Dr. Karen Rosario Chan-Licuanan,032-2544715/4029469,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"366 Orchid St., Capitol Site, Cebu City",PVT,"NEPHRO SPECIALIST OF CEBU, INC.",11,Dt. John Li,032-4154779 . 0917-3218321 /,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"Gen. Maxillom Ave. cor. S. Osmeña St., Cebu City",PVT,WEI RENAL CARE CLINIC,12,Dr. Alexander V. Tan,,"May 20, 2020 to Dec. 31, 2022"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"Gate 3 USC-Seminary School, Pope John Paul II Ave., Brgy. Luz, Cebu City",PVT,RICARDO CARDINAL VIDAL RENAL CENTER ,5,Dr. Hariett B. Porsuelo-Torres,032-2382103/09999696102,"Oct. 4, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"11 Gov. M. Cuenco, Kasambagan, Cebu City, Cebu",PVT,DIACARE DIALYSIS CENTER ,15,"Dr. German M. Mayo, Jr.",032-3463044,"Dec. 3, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"88 Gorordo Ave., Lahug, Cebu City",PVT,"STO. NIÑO DIALYSIS CENTER, INC.",24,"Dr. German M. Mayo, Jr.",032-3190354 / 0917-7002072,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"Unit 2, Upper Ground Floor, Leyte Loop, Cebu Business Park, Brgy. Hipodromo, Cebu City, Cebu",PVT,TDC THE DIALYSIS CO.,20,"Dr. Catherine Rose Ti, FPCP, FPSN",0917-6260909,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 7,CENTRAL VISAYAS,CEBU,Lapu-Lapu City,"Nephro Specialist of Mactan Building, Marigondon, Lapu-Lapu City, Cebu",PVT,"NEPHRO SPECIALIST OF MACTAN, INC.",12,Dr. Marc Evan P. Dominguez,09063129022/ 09176220009,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,CEBU,Mandaue City,"Unit 102-106 G/F Arcada 5 HI-way, Tipolo, Mandaue City, Cebu",PVT,"NEPHROLOGY CENTER OF MANDAUE CITY DIALYSIS, INC.",15,DR. Minnie H. Monteclaro,032-3493998,"Jan. 1, 2022 to Dec. 31, 2024"
